treatment_id,management_id,Created at,Updated at
109,200,"",""
109,201,"",""
109,214,"",""
109,215,"",""
109,216,"",""
110,180,"",""
110,181,"",""
110,182,"",""
110,197,"",""
110,198,"",""
110,199,"",""
110,200,"",""
110,201,"",""
110,211,"",""
110,212,"",""
110,213,"",""
111,180,"",""
111,181,"",""
111,182,"",""
111,183,"",""
111,184,"",""
111,185,"",""
111,186,"",""
111,187,"",""
111,188,"",""
111,189,"",""
111,190,"",""
111,191,"",""
111,192,"",""
111,193,"",""
111,194,"",""
111,195,"",""
111,205,"",""
111,206,"",""
111,207,"",""
112,153,"",""
112,158,"",""
112,159,"",""
112,160,"",""
112,168,"",""
112,169,"",""
112,170,"",""
112,171,"",""
112,172,"",""
113,153,"",""
113,158,"",""
113,159,"",""
113,160,"",""
113,161,"",""
113,173,"",""
113,174,"",""
113,175,"",""
113,176,"",""
113,177,"",""
113,178,"",""
113,179,"",""
114,153,"",""
114,158,"",""
114,159,"",""
114,160,"",""
114,161,"",""
114,162,"",""
114,163,"",""
114,164,"",""
114,165,"",""
114,166,"",""
114,167,"",""
115,180,"",""
115,181,"",""
115,182,"",""
115,199,"",""
115,200,"",""
115,201,"",""
115,208,"",""
115,209,"",""
115,210,"",""
116,153,"",""
116,155,"",""
116,156,"",""
116,157,"",""
116,158,"",""
116,159,"",""
116,160,"",""
116,161,"",""
117,1004,"",""
117,1008,"",""
117,1009,"",""
118,1004,"",""
118,1005,"",""
118,1006,"",""
118,1007,"",""
118,1008,"",""
118,1009,"",""
661,1551,"",""
661,1552,"",""
661,1553,"",""
661,1554,"",""
661,1555,"",""
661,1556,"",""
661,1557,"",""
661,1558,"",""
661,1559,"",""
119,1121,"",""
119,1122,"",""
119,1123,"",""
119,1124,"",""
119,1125,"",""
119,1126,"",""
120,1121,"",""
120,1122,"",""
120,1123,"",""
120,1127,"",""
120,1128,"",""
120,1129,"",""
120,1130,"",""
121,1121,"",""
121,1122,"",""
121,1123,"",""
121,1127,"",""
121,1128,"",""
121,1129,"",""
121,1131,"",""
121,1132,"",""
122,1121,"",""
122,1122,"",""
122,1123,"",""
122,1127,"",""
122,1128,"",""
122,1129,"",""
122,1131,"",""
122,1133,"",""
122,1134,"",""
123,1121,"",""
123,1122,"",""
123,1123,"",""
123,1127,"",""
123,1128,"",""
123,1131,"",""
123,1132,"",""
124,1121,"",""
124,1122,"",""
124,1123,"",""
124,1127,"",""
124,1128,"",""
124,1131,"",""
124,1133,"",""
124,1134,"",""
125,1121,"",""
125,1122,"",""
125,1123,"",""
125,1127,"",""
125,1128,"",""
125,1131,"",""
125,1133,"",""
125,1134,"",""
126,217,"",""
126,218,"",""
126,222,"",""
127,217,"",""
127,218,"",""
127,220,"",""
127,222,"",""
128,217,"",""
128,218,"",""
128,221,"",""
128,222,"",""
129,964,"",""
130,964,"",""
130,965,"",""
130,966,"",""
130,967,"",""
666,1605,"",""
666,1606,"",""
666,1611,"",""
666,1613,"",""
666,1614,"",""
666,1615,"",""
668,1605,"",""
668,1606,"",""
668,1608,"",""
668,1611,"",""
668,1613,"",""
668,1614,"",""
668,1615,"",""
669,1605,"",""
669,1606,"",""
669,1609,"",""
669,1611,"",""
669,1613,"",""
669,1614,"",""
